srno,business_name,pan,gstin,tan,cin,udyam_registration_no,pin_code,district,state,city,address_line1,address_line2,landmark,activity_date,registration_date,commencement_date,last_return_filed_date,source_status,gstin_status,sector,industry_category,nic_code,constitution_type,authorized_capital_inr,paid_up_capital_inr,annual_turnover_inr,employee_count,msme_category,proprietor_owner_name,mobile_no,email_id,bank_name,bank_account_no,ifsc_code,bank_branch,gst_return_type,last_gstr1_filed,last_gstr3b_filed,pending_tax_inr,tds_deductor,epfo_registered,esic_registered,import_export_code,fssai_license_no,drug_license_no,pollution_noc,fire_noc,trade_license_no,ward_no,zone,taluka,tehsil,assembly_constituency,lok_sabha_constituency,latitude,longitude,remarks
1,Shetty Metal Works,ABCDE1234F,29ABCDE1234F1Z5,BLRS12345B,U27100KA2015PTC123456,UDYAM-KA-01-0012345,560058,Bengaluru Urban,Karnataka,Bengaluru,No.42 Whitefield Main Road,Whitefield Industrial Area,Near EPIP Zone,2023-10-15,2015-06-01,2015-07-01,2024-03-31,Active,Active,Metal Fabrication,Manufacturing,2599,Private Limited Company,5000000,3000000,18500000,47,Small,Ramesh Shetty,9845012345,ramesh@shettymetal.com,State Bank of India,30987654321,SBIN0040291,Whitefield Branch,GSTR-1 & 3B,2024-03-11,2024-03-20,0,Yes,Yes,Yes,0515012345,,,Yes,Yes,TL/2015/BLR/045231,14,East Zone,Bengaluru East,Bengaluru East,Mahadevapura,Bengaluru North,12.9698,77.7500,Regular taxpayer
2,Shetty Metals Pvt Ltd,ABCDE1234F,,BLRS12345B,,,560058,Bengaluru Urban,Karnataka,Bengaluru,42 Whitefield Rd,,Near Sony Signal,2023-11-20,2015-06-10,2015-08-01,,Operating,Inactive,Metal Fabrication,Manufacturing,2599,Private Limited Company,5000000,3000000,,,Small,Ramesh Shetty,9845012345,shettymetal2@gmail.com,Canara Bank,1234500067891,CNRB0001234,Whitefield,GSTR-1 & 3B,,,,No,Yes,Yes,,,,Yes,,TL/2015/BLR/045300,14,East Zone,Bengaluru East,Bengaluru East,Mahadevapura,Bengaluru North,12.9700,77.7502,Possible duplicate of SRNo 1
3,Shetti Metalworks P Ltd,,,,,UDYAM-KA-01-0012346,560058,Bengaluru,Karnataka,Bangalore,Whitefield Industrial Area,,,2023-09-05,2015-06-05,2015-07-15,,Valid,,Metals,Manufacturing,,Private Limited Company,,,,45,Small,,,,,,,,,,,,,,,,,,,,,,,,,,East Zone,Bengaluru East,,,,12.9695,77.7498,Possible duplicate - misspelled name
4,Gowda Enterprises,XYZQA9876R,29XYZQA9876R2Z1,BLRX09876D,U52100KA2018PTC234567,UDYAM-KA-03-0098765,560001,Bengaluru Urban,Karnataka,Bengaluru,15 MG Road,,Near Trinity Circle,2022-01-10,2018-03-15,2018-04-01,2023-09-30,Dormant,Cancelled,Retail,Trade,5211,Proprietorship,1000000,1000000,4200000,8,Micro,Suresh Gowda,9900112233,sgowda.ent@yahoo.com,Bank of Baroda,20045678901,BARB0MGROAD,MG Road Branch,GSTR-1 & 3B,2023-09-11,2023-09-18,15200,No,No,No,,12345678901234,,No,No,TL/2018/BLR/078901,2,Central Zone,Bengaluru South,Bengaluru South,Shivajinagar,Bengaluru Central,12.9767,77.5713,Dormant - no return filed since Oct 2023
5,Gowda Ent.,XYZQA9876R,,BLRX09876D,,,560001,Bengaluru Urban,Karnataka,Bengaluru,15 MG Rd,,,,2021-12-05,2018-03-20,,,Inactive,,Retail Trade,Trade,,Proprietorship,,,,,Micro,Suresh Gowda,9900112233,,State Bank of India,,,,,,,,,,,,,,,,,,,,,,,Central Zone,Bengaluru South,Bengaluru South,,,12.9766,77.5714,Possible duplicate of SRNo 4
6,Patel Textiles,FGHIJ5678K,24FGHIJ5678K1Z3,AHDP56789C,U17100GJ2010PTC098765,UDYAM-GJ-02-0054321,380015,Ahmedabad,Gujarat,Ahmedabad,Plot 7 GIDC Naroda,Naroda Industrial Estate,,2024-01-22,2010-04-10,2010-06-01,2024-03-31,Active,Active,Textiles,Manufacturing,1311,Private Limited Company,10000000,7500000,32000000,120,Small,Kiran Patel,9712345678,kiran@pateltextiles.in,HDFC Bank,50100123456789,HDFC0001380,Naroda Branch,GSTR-1 & 3B,2024-03-11,2024-03-20,0,Yes,Yes,Yes,0724012345,10016011000123,,Yes,Yes,TL/2010/AMD/001234,7,North Zone,Naroda,Naroda,Naroda,Ahmedabad East,23.0657,72.6369,Exporter - LUT filed
7,Sharma Pharma Distributors,KLMNO9012P,07KLMNO9012P1Z8,DELK90123F,U51900DL2012PTC345678,,110020,West Delhi,Delhi,New Delhi,Shop 34 Lawrence Road Industrial Area,Kirtinagar,,2023-08-14,2012-07-20,2012-09-01,2024-03-31,Active,Active,Pharma Distribution,Trade,4646,Partnership,2000000,2000000,28000000,22,Small,Rajesh Sharma,9810056789,sharma.pharma@gmail.com,Punjab National Bank,4567800123456,PUNB0034500,Kirti Nagar Branch,GSTR-1 & 3B,2024-03-11,2024-03-20,0,No,Yes,Yes,1107034567,,DL/DRG/2012/4567,Yes,Yes,TL/2012/DL/056789,35,West Zone,Delhi West,Delhi West,Moti Nagar,West Delhi,28.6603,77.1390,Drug license valid till 2025-06-30
8,Mehta Construction Co.,PQRST3456U,27PQRST3456U1Z2,MUMM34567G,U45200MH2005PTC456789,UDYAM-MH-05-0176543,400013,Mumbai City,Maharashtra,Mumbai,Office 501 Nariman Point,Maker Chamber V,,2023-05-30,2005-11-15,2006-01-01,2024-03-31,Active,Active,Construction,Services,4100,Private Limited Company,50000000,25000000,125000000,380,Medium,Anand Mehta,9820012345,info@mehtaconstruction.com,ICICI Bank,007505001234567,ICIC0000075,Nariman Point,GSTR-1 & 3B,2024-03-11,2024-03-20,0,Yes,Yes,Yes,0327054321,,,Yes,Yes,TL/2005/MUM/012345,123,South Zone,Mumbai South,Colaba,Malabar Hill,Mumbai South,18.9256,72.8242,PWD registered contractor
9,Rao Agro Industries,UVWXY7890Z,36UVWXY7890Z1Z6,HYDU78901H,U01100TG2008PTC567890,UDYAM-TS-06-0234567,500032,Hyderabad,Telangana,Hyderabad,H.No 8-2-293 Road No.82,Jubilee Hills,,2022-11-10,2008-02-28,2008-05-01,2023-12-31,Active,Active,Agro Processing,Manufacturing,1030,Private Limited Company,8000000,5000000,42000000,95,Small,Venkat Rao,9848012345,raoagroindustries@rediffmail.com,Andhra Bank,179900123456,ANDB0000500,Jubilee Hills,GSTR-1 & 3B,2024-01-11,2024-01-18,3400,Yes,Yes,Yes,0836087654,13313001000234,,Yes,No,TL/2008/HYD/023456,60,West Zone,Serilingampally,Serilingampally,Jubilee Hills,Secunderabad,17.4239,78.4142,APEDA registered exporter
10,Singh Transport Services,ABCFG2345H,03ABCFG2345H1Z1,PNJB23456T,,,140301,Mohali,Punjab,Mohali,SCO 45 Phase 7 Market,,Near GMCH32,2023-07-01,2016-08-10,2016-09-01,2024-03-31,Active,Active,Logistics & Transport,Services,4923,Proprietorship,500000,500000,9500000,18,Micro,Gurpreet Singh,9815056789,gsingh.transport@gmail.com,State Bank of India,32100456789,SBIN0050476,Phase 7 Mohali,GSTR-1 & 3B,2024-03-11,2024-03-20,0,No,Yes,No,,,,,No,TL/2016/MOH/034512,9,North Zone,Mohali,Mohali,Mohali,Anandpur Sahib,30.7046,76.7179,National permit holder - 12 vehicles
